feature,logistic_coef,rf_importance,logistic_coef_norm,rf_importance_norm
age,0.19911762996918383,0.03489447354722859,0.45436753407881036,1.0
salary_per_experience,0.15799104325877913,0.03382171059387991,0.360520566376468,0.969256938297214
annee_experience_totale,0.17462409012679328,0.030656953394117243,0.3984756007488965,0.8785618545763129
training_per_year,0.03502901152548729,0.02985288134120523,0.07993287982845675,0.8555188918612077
distance_domicile_travail,0.12058892939624376,0.029626946969971164,0.2751724922371505,0.8490441023525404
annees_dans_l_entreprise,0.07457633737381235,0.027960268248704255,0.17017612412528574,0.801280701680766
satisfaction_mean,0.29022208751310624,0.025954605935145213,0.6622592598101086,0.743802765788011
satisfaction_std,0.26949929367999287,0.02458920630135313,0.6149718110059393,0.7046733709299955
nombre_experiences_precedentes,0.3292378833658903,0.022798159270992963,0.7512896031026406,0.6533458440098361
years_in_position_ratio,0.16580587115973652,0.021953217667927027,0.3783532619703128,0.6291316485464102
annes_sous_responsable_actuel,0.10878636094997704,0.021621498651866435,0.24824015118047693,0.6196253003388175
salary_increase_pct,0.11249830646764608,0.020590751853027577,0.25671045856490693,0.5900863305806471
nombre_participation_pee,0.290380262984155,0.019749204052521407,0.6626202012231984,0.5659693941446479
annees_dans_le_poste_actuel,0.08603911722327136,0.01933764902648552,0.19633309985211125,0.5541751188855911
heure_supplementaires_Oui,0.43823032024697156,0.018892426910868152,1.0,0.5414160177914086
experience_before_company,0.1450853480222838,0.0184831933941967,0.3310709946781379,0.5296882719603226
nb_formations_suivies,0.13697502551481647,0.017943284084269987,0.31256400843652726,0.5142156410522803
satisfaction_employee_environnement,0.19852954327135044,0.017650233192323082,0.45302557604746746,0.5058174374929038
note_evaluation_precedente,0.26588026659807584,0.017273284512277703,0.6067135346733536,0.49501490512240703
satisfaction_employee_nature_travail,0.08706702791049321,0.016771941702832104,0.19867869448518585,0.4806475065494769
niveau_hierarchique_poste,0.13175792004051615,0.016280925683680024,0.3006590688801768,0.46657605140952463
satisfaction_employee_equilibre_pro_perso,0.20675746923956365,0.015995098075010948,0.4718009222251948,0.4583848514969592
